Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Close_Lag1,Close_Lag7,MA_7,MA_30,Volatility_7,Price_Change,Return,DayOfWeek,Month,Price_Change_Direction
12/10/2018,3548.49,3610,3370.11,0.002729341,0.053508711,00:00.0,142507933.1,192599,20615.03826,71728122.28,0,0.004117583,0.008296747,0.003174161,0.012647091,0.043410592,0.473817681,0.615368727,0,1,0
12/11/2018,3434.01,3480,3324.32,0.002081561,0.046843335,00:00.0,121841475.3,162266,18443.62671,62566361.86,0,0.002729341,0.009131371,0.002165724,0.011379454,0.028234454,0.477922243,0.643210974,0.166666667,1,0
12/12/2018,3379.23,3492,3350,0.002878914,0.044215874,00:00.0,116227185.8,152067,18127.19871,62102213.8,0,0.002081561,0.006887772,0.001592279,0.010137155,0.012392357,0.485932981,0.701481592,0.333333333,1,1
12/13/2018,3446.38,3460,3255.5,0.001114888,0.052261575,00:00.0,134817053.7,160471,19671.31508,66262762.3,0,0.002878914,0.003665654,0.001227406,0.008833927,0.015250074,0.471734615,0.598832228,0.5,1,0
12/14/2018,3302.06,3335.39,3177,0.000153646,0.058116442,00:00.0,145101409.5,184525,22546.67013,73559210.3,0,0.001114888,0.002367379,0.000910744,0.007719584,0.021597263,0.476184645,0.629156437,0.666666667,1,0
12/15/2018,3225.19,3276.5,3156.26,0,0.038788644,00:00.0,95588793.64,139806,16044.57843,51480397.9,0,0.000153646,0.002458455,0.000559075,0.006669898,0.025609284,0.480661354,0.662568559,0.833333333,1,0
12/16/2018,3211.71,3294,3186,0.00020918,0.031993269,00:00.0,80068159.4,125565,13109.77351,42626126.41,0,0,0.004117583,0,0.005667463,0.021057147,0.48267259,0.678047645,1,1,1
12/17/2018,3229.22,3585,3216,0.003669727,0.087402482,00:00.0,228758085.6,283815,34567.21444,118345867,0,0.00020918,0.002729341,0.000134517,0.004792253,0.02460793,0.500695723,0.816210068,0,1,1
12/18/2018,3509.03,3678.59,3424.47,0.0054456,0.080310727,00:00.0,216563775,296433,32075.60052,113218237.1,0,0.003669727,0.002081561,0.000615724,0.00396255,0.035598482,0.49135716,0.738565526,0.166666667,1,1
12/19/2018,3653,3912.73,3622.55,0.005559631,0.123403227,00:00.0,352638213.5,434026,48106.75891,180189225.3,0,0.0054456,0.002878914,0.000999186,0.003447218,0.042433618,0.482145154,0.673393075,0.333333333,1,1
